"school_ID" "stud_ID" "grade" "gender" "immig" "SCHRISK" "BULLIED" "FEELSAFE" "BELONG" "TEACHSUP" "ANXMAT" "MATHPERS" "math_time" "study_time" "EXERPRAC" "STUDYHMW" "PAREDINT" "ESCS" "FAMSUP" "FAMSUPSL" "PV1MATH" "PV2MATH" "PV3MATH" "PV4MATH" "PV5MATH" "PV6MATH" "PV7MATH" "PV8MATH" "PV9MATH" "PV10MATH" "mate" "MACTIV" "SCHSIZE" "SMRATIO" "SCHSEL"
"1" "38000165" "38000001" 1 1 0 -0.4624 1.0616 -0.756 -0.8618 -1.3627 0.544 -0.3131 1 2 3 7 9 -1.5912 -0.8663 -0.0606 405.606 381.92 395.179 355.071 390.181 398.718 362.505 407.055 365.277 401.439 386.2951 NA NA NA NA
"2" "38000035" "38000003" 1 0 0 -0.4624 -1.228 1.1246 0.7289 -0.1002 -1.2756 0.7827 1 3 5 7 16 1.167 0.5875 -1.6889 568.857 512.462 542.377 553.168 535.827 490.731 535.698 512.417 500.811 487.353 523.9701 3 712 94.9333 1
"3" "38000064" "38000004" 1 0 0 -0.4624 -0.1325 0.4417 -1.3342 0.1475 NA NA 2 4 3 3 12 -0.7283 NA NA 515.899 547.577 569.418 519.695 528.801 530.771 558.91 506.659 545.212 536.094 535.9036 1 690 81.1765 2
"4" "38000225" "38000007" 1 0 0 0.4017 -1.228 1.1246 0.5296 NA 0.133 -0.3623 3 3 10 5 16 0.0594 -0.9921 NA 380.181 327.608 373.628 314.547 399.58 400.687 390.479 411.091 372.242 409.098 377.9141 0 734 81.5556 1
"5" "38000068" "38000008" 1 1 0 -0.4624 -1.228 1.1246 -0.7532 -0.5635 0.6566 -0.3616 2 4 2 5 16 1.5253 -0.1021 -0.2355 540.971 593.399 577.746 589.681 567.313 521.656 521.338 531.363 570.673 554.633 556.8773 3 731 91.375 1
"6" "38000309" "38000011" 1 1 0 -0.4624 -1.228 -0.039 0.713 1.5558 0.1031 1.3912 1 6 0 10 16 -0.7469 0.3925 -0.7906 366.511 376.892 380.173 360.298 336.796 364.793 382.943 382.692 365.173 413.216 372.9487 1 283 35.375 2
"7" "38000037" "38000012" 1 1 0 -0.4624 1.4066 0.2485 -0.608 -0.3322 0.544 -1.3762 3 5 0 8 14.5 -0.9514 -0.095 NA 315.619 347.761 257.17 320.587 343.121 375.551 285.35 405.964 385.135 367.779 340.4037 NA 743 100 NA
"8" "38000308" "38000014" 1 0 0 -0.4624 -1.228 1.1246 0.1436 0.4357 -0.7358 -2.0679 1 2 3 3 16 1.2647 1.0086 NA 642.214 620.773 700.002 644.884 671.33 695.776 675.578 666.496 711.564 644.396 667.3013 3 632 50.56 3
"9" "38000075" "38000016" 0 0 0 -0.4624 -1.228 -1.1042 -0.3397 -0.1002 1.2918 -1.2701 2 3 2 3 16 -0.0575 -0.0601 0.3319 420.166 425.999 478.729 465.69 440.067 477.263 396.76 410.958 402.991 435.084 435.3707 3 1338 89.2 3
"10" "38000091" "38000019" 0 1 0 0.8125 1.6098 -2.7886 -0.7225 0.4357 2.635 -1.0299 1 2 6 3 16 0.1003 -0.4896 -0.7906 426.91 378.438 383.52 329.923 420.382 364.527 337.574 398.926 334.956 364.485 373.9641 1 791 83.2632 1
